"albumName";"albumMBID";"albumSpotID";"artistSpotID";"year"
"Never Say Die! (2009 Remastered Version)";"NULL";"35He10lZFJROpQBT16z54R";"5M52tdBnJaKSvOpJGz8mfZ";"1978"
"Never Say Die! (Remastered Edition)";"56e16e65-a1fe-39d9-8c97-d41241a80d3d";"15R0gte5kP6Bcrqyaf0j3v";"5M52tdBnJaKSvOpJGz8mfZ";"1978"
"Paranoid";"2982b682-36ea-3605-b959-04e746736070";"6r7LZXAVueS5DqdrvXJJK7";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Paranoid (2009 Remastered Version)";"NULL";"132qAo1cDiEJdA3fv4xyNK";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Paranoid (Remastered Edition)";"2982b682-36ea-3605-b959-04e746736070";"6r7LZXAVueS5DqdrvXJJK7";"5M52tdBnJaKSvOpJGz8mfZ";"1970"
"Past Lives (Deluxe Edition)";"NULL";"2fOSWAjN9NIp4RWSi19kBw";"5M52tdBnJaKSvOpJGz8mfZ";"2002"
"Reunion";"NULL";"4D8MKIxsNhIHQ4R6NIMtbN";"5M52tdBnJaKSvOpJGz8mfZ";"1998"
"Reunion";"NULL";"4fDHjACriolezsa056K1SC";"5M52tdBnJaKSvOpJGz8mfZ";"1998"
"Reunion";"NULL";"0G3YLIcJdk5wqqLAgOCmL8";"5M52tdBnJaKSvOpJGz8mfZ";"1998"
"Reunion";"NULL";"1NF9CmInQu1lYuv5367Z0e";"5M52tdBnJaKSvOpJGz8mfZ";"1998"
"Sabbath Bloody Sabbath";"734f7ad8-4e20-435e-a27b-c3b7e0ff3e35";"1qQ2ig3pvig30zVyXLzij8";"5M52tdBnJaKSvOpJGz8mfZ";"1973"
"Sabbath Bloody Sabbath (2009 Remastered Version)";"NULL";"6vKZWeBFGy7phxXP727tOa";"5M52tdBnJaKSvOpJGz8mfZ";"1973"
"Sabbath Bloody Sabbath (Remastered Edition)";"734f7ad8-4e20-435e-a27b-c3b7e0ff3e35";"1qQ2ig3pvig30zVyXLzij8";"5M52tdBnJaKSvOpJGz8mfZ";"1973"
"Sabotage";"024e45a1-ea0f-4f31-8f06-f0c4fa1e403b";"0Plh7fxBmx1Z2HrnVOoGkw";"5M52tdBnJaKSvOpJGz8mfZ";"1975"
"Sabotage (2009 Remastered Version)";"NULL";"2hurj4babJXt1cIxmYFqqo";"5M52tdBnJaKSvOpJGz8mfZ";"1975"
"Sabotage (Remastered Edition)";"024e45a1-ea0f-4f31-8f06-f0c4fa1e403b";"0Plh7fxBmx1Z2HrnVOoGkw";"5M52tdBnJaKSvOpJGz8mfZ";"1975"
"Seventh Star";"cdf74e55-0a63-42f6-bf96-26360ccb51d2";"3Qa9feGeY1iEhkPpynb7EU";"5M52tdBnJaKSvOpJGz8mfZ";"1986"
"Seventh Star (Deluxe Edition)";"NULL";"557z9zU5A2g5jhZBiu8obi";"5M52tdBnJaKSvOpJGz8mfZ";"1986"
"Seventh Star (US Release)";"cdf74e55-0a63-42f6-bf96-26360ccb51d2";"3Qa9feGeY1iEhkPpynb7EU";"5M52tdBnJaKSvOpJGz8mfZ";"1986"
"Technical Ecstasy";"59f1630b-5f96-4e0e-8f37-cdc78e6589e7";"7dpMnSxwpr2DSLrdywIYot";"5M52tdBnJaKSvOpJGz8mfZ";"1976"
"Technical Ecstasy (2009 Remastered Version)";"NULL";"6KSQLHjRof63DtaUu55SMm";"5M52tdBnJaKSvOpJGz8mfZ";"1976"
"Technical Ecstasy (Remastered Edition)";"59f1630b-5f96-4e0e-8f37-cdc78e6589e7";"7dpMnSxwpr2DSLrdywIYot";"5M52tdBnJaKSvOpJGz8mfZ";"1976"
"The Dio Years [w/bonus tracks]";"NULL";"6t9zgFOsNLWj2PUZzO7w0M";"5M52tdBnJaKSvOpJGz8mfZ";"2007"
"The Dio Years [w/bonus track]";"NULL";"7AccAU8WCAgJHkeE3snsMM";"5M52tdBnJaKSvOpJGz8mfZ";"2007"
"The End (Live)";"NULL";"1QJeuJKjFw7otrpYUEFVPs";"5M52tdBnJaKSvOpJGz8mfZ";"2017"
"The Eternal Idol";"1ea64406-acb2-37ce-a652-b2d7b71f11b8";"60pKOzyxUzKpHbZvWu3nnx";"5M52tdBnJaKSvOpJGz8mfZ";"1987"
"The Eternal Idol (2009 Remastered Version)";"NULL";"6iaMVyPdFZTCZind2SnEcp";"5M52tdBnJaKSvOpJGz8mfZ";"1987"
